Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,US,45,434,98.217.8.51,98.217.8.51,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.0.9 on Linux,0,0,2016-12-12,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,120,None
Unnamed,NL,581,177,188.226.152.210,188.226.152.210,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-20,DIGITALOCEAN-ASN-3- NL,202018,1600,None
Unnamed,BG,798,74,89.45.67.137,89.45.67.137,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-11-09,BELCLOUD- BG,44901,1920,None
Unnamed,US,17463,33,207.244.70.35,207.244.70.35,443,80,0,1,1,0,0,1,1,1,1,Tor 0.3.1.9 on Linux,0,0,2015-08-28,LEASEWEB-USA-WDC-01 - Leaseweb USA- Inc.- US,30633,40500,None
Unnamed,AR,58,1938,131.255.5.250,host250.131.255.5.baehost.com.ar,1943,15650,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-08-18,InterBS S.R.L. (BAEHOST)- AR,61493,212,None
Unnamed,US,8,41,73.60.12.28,c-73-60-12-28.hsd1.ct.comcast.net,43840,43841,0,0,1,0,0,0,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-12-02,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,72,None
Unnamed,FI,184,2890,88.193.138.181,dsl-trebng21-58c18a-181.dhcp.inet.fi,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.5.14 on Linux,0,0,2017-01-11,TSF-IP-CORE Telia Finland Oyj- FI,1759,497,None
Unnamed,CA,509,58,45.62.234.35,c625804926-cloudpro-402657560.cloudatcost.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.13 on Linux,0,0,2017-11-30,DATACITY - KW Datacenter- CA,31798,1550,None
Unnamed,US,9566,531,170.250.140.52,170.250.140.52.hwccustomers.com,9001,None,0,1,1,0,0,1,1,1,0,Tor 0.2.5.14 on Linux,0,0,2017-05-19,HOTWIRE-COMMUNICATIONS - Hotwire Communications- US,23089,13900,None
Unnamed,DE,677,663,54.36.112.241,54.36.112.241,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-10-23,OVH- FR,16276,1460,None
